"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR"
"1",1,30,0.81,0.68,0.46,0.714285714285714,0.571428571428571,0.0892857142857143
"2",1,60,0.91,0.68,0.56,0.979591836734694,0.836734693877551,0.224489795918367
"3",1,200,0.96,0.75,0.77,1,0.678571428571429,0.607142857142857
"4",10,30,0.91,0.7,0.68,0.857142857142857,0.380952380952381,0.30952380952381
"5",10,60,0.95,0.75,0.66,0.979166666666667,0.541666666666667,0.375
"6",10,200,0.89,0.88,0.89,1,0.906976744186046,0.813953488372093
"7",50,30,0.82,0.63,0.44,0.746031746031746,0.492063492063492,0.158730158730159
"8",50,60,0.95,0.74,0.74,0.961538461538462,0.692307692307692,0.538461538461538
"9",50,200,0.94,0.9,0.89,1,0.930232558139535,0.767441860465116
"10",100,30,0.84,0.58,0.59,0.764705882352941,0.274509803921569,0.254901960784314
"11",100,60,0.98,0.52,0.55,0.982456140350877,0.263157894736842,0.210526315789474
"12",100,200,0.96,0.9,0.97,1,0.924528301886792,0.962264150943396
"13",500,30,0.78,0.61,0.6,0.613636363636364,0.454545454545455,0.159090909090909
"14",500,60,0.91,0.61,0.66,1,0.230769230769231,0.205128205128205
"15",500,200,0.99,0.82,0.83,1,0.767441860465116,0.674418604651163
